Item,Topic,Condensed official requirement,Planned location,Current status,Action before submission,Source URL
9a,Predictor choice,Describe initial predictor choice/preselection,Methods predictors,DRAFTED,Explain locked clinically/routinely available set,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
9b,Predictor definitions,Define all predictors and timing,Methods + Table S1,PARTIAL,Complete data dictionary,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
9c,Predictor assessors,Qualifications for subjective measurements,Methods,PARTIAL,State routine EHR measurements; note structured history/context limitations,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
10,Sample size,Explain study-size derivation/sufficiency,Methods participants,PARTIAL,State all eligible data used; justify event count and cluster count,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
11,Missing data,Describe handling and omissions,Methods predictors/Discussion,DRAFTED,Report center heterogeneity in supplement,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
12a-g,Analytical methods,"Partitioning, transformations, models, heterogeneity, performance, updating, prediction calculation",Methods modeling/statistics,DRAFTED,Add exact software/code object access,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
13,Class imbalance,State imbalance methods and recalibration,Methods modeling,DRAFTED,State no weighting/SMOTE; use AUPRC and calibration,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
14,Fairness,Describe fairness approaches,Methods/Discussion,OPEN,State none prespecified; add limitation/future work,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
15,Model output,Describe probabilities/classification and threshold rationale,Methods DCA,DRAFTED,No optimal threshold; scenario thresholds,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
16,Training vs evaluation,Identify development/evaluation differences,Methods/Results,DRAFTED,Held-out hospitals; same data ecosystem,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
17,Ethical approval,Name committee and waiver/consent,Declarations,OPEN,Author must provide exact wording,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
18a-f,Open science,"Funding, COI, protocol, registration, data, code",Declarations/Supplement,OPEN/PARTIAL,Complete author declarations and Zenodo DOI,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
19,Patient/public involvement,Report involvement or state none,Declarations,OPEN,Author confirmation,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
20a-c,Participants results,"Flow, characteristics, dates, missingness, development/evaluation comparison",Results/Table 1/Supplement,PARTIAL,Baseline-characteristic table still required,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
21,Analysis counts,Report participants/events in each analysis,Results/Supplement,DRAFTED,Add inner/outer counts in Table S2/S3,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
22,Model specification,Provide full model/code/object for third-party use,Repository/Supplement,PARTIAL,Zenodo/GitHub package and implementation instructions,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
23a-b,Model performance,Report CI and cluster heterogeneity,Results/Figures,DRAFTED,Add final figures and tables,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
24,Model updating,Report updating,Methods/Results,DRAFTED,State fold-specific Platt calibration; no outer-test updating,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
25,Interpretation,"Interpret in context, including fairness",Discussion,DRAFTED,Keep bounded claims,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
26,Limitations,"Discuss bias, uncertainty, generalizability, missingness",Discussion,DRAFTED,Preserve all locked limitations,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
27a-c,Usability/future,"Input quality, user interaction, expertise, next research",Discussion,PARTIAL,Add implementation workflow and future external/prospective study,https://www.tripod-statement.org/wp-content/uploads/2024/04/TRIPODAI-Supplement.pdf
Cluster,TRIPOD-Cluster,"Report clusters, heterogeneity, cluster-disjoint splitting, cluster sizes",Methods/Results/Supplement,DRAFTED,Complete page-number checklist after final draft,https://www.tripod-statement.org/wp-content/uploads/2020/03/TRIPOD_CLUSTER-Checklist.pdf
